"Company_ID","Company_Name","Company_Type","Blacklisted?","Status","Date_Registered"
"bc86e004-84b7-4927-9f43-991b0211e20b","Bee A","--","No","ACTIVE","2025-01-09T22:58:56.360Z"
"5a38a851-72c3-45fa-85d3-546600af0d20","Ivinov","--","No","ACTIVE","2025-01-08T06:48:27.804Z"
"9773506b-7f40-4a67-9ec4-4ae7e55a96c6","Imot Inc.","--","No","ACTIVE","2025-01-07T14:24:31.789Z"
"bb02e2f7-8c5c-4e2e-8f0d-205805fcc2df","richard okoye","--","No","ACTIVE","2025-01-05T10:53:21.534Z"
"98c296eb-e807-45d1-8829-621269e83476","test ric","--","No","ACTIVE","2025-01-03T08:56:51.093Z"
"ebc32b8c-35e3-40ef-ac7c-14272dea1454","David","--","No","ACTIVE","2025-01-03T08:43:49.839Z"
"7598bff4-ebd2-4993-8ca3-155be82e69ff","Inv Inc.","--","No","ACTIVE","2025-01-03T08:15:11.690Z"
"6d2375f4-3ccc-4ef9-b544-48703a537a50","chiboy","--","No","ACTIVE","2025-01-03T08:14:51.019Z"
"50f66465-876e-48f4-8bf2-9fb1501c2ad6","SM Restaurant Test","--","No","ACTIVE","2025-01-02T19:44:07.549Z"
"3d57d08a-1670-4ca2-8c7b-637f6b1ac3c6","Flaming word","--","No","ACTIVE","2025-01-02T12:34:57.494Z"
"2bd5b80a-c4b2-480f-97c3-818776ad9a2f","rich business1","--","No","ACTIVE","2024-12-31T08:29:14.499Z"
"17954bed-72c2-426a-ab03-3b957115f98e","Test Vendease","--","No","ACTIVE","2024-12-23T10:02:29.910Z"
"0e967c90-242d-4dc0-a1f2-d0b2ca561721","Django Slave services","--","No","ACTIVE","2024-12-20T15:05:23.715Z"
"d9a520a8-8a43-4a0d-9a0f-915098e387c4","kkkkdkd","--","No","ACTIVE","2024-12-20T14:30:53.989Z"
"15827d68-3dea-48cd-b870-3a54caafdd99","mc donalds","--","No","ACTIVE","2024-12-20T13:52:44.187Z"
"e2c7c6aa-0e52-42d2-93d7-4cd3a4a2477a","Wealth Busisness","--","No","ACTIVE","2024-12-20T12:31:49.243Z"
"bf9de51f-632f-4ea5-96c0-27170984820a","Robinson","--","No","ACTIVE","2024-12-20T09:28:15.811Z"
"50d202a5-bcc7-4e94-b630-4d04bf655239","Mama B","--","No","ACTIVE","2024-12-20T09:13:01.729Z"
"acfd02d3-5b9f-4986-9895-a86a12e73776","Dec 15 2","--","No","ACTIVE","2024-12-20T00:48:25.141Z"
"5e984e37-7e9a-4e98-904a-87b3061ec738","Dec 15","--","No","ACTIVE","2024-12-19T15:46:24.630Z"
"b793dc93-432b-4820-a6d7-74bd1f9b7dbb","Montine","--","No","ACTIVE","2024-12-19T12:55:15.073Z"
"ade00454-79f4-468f-8bfc-23009246a251","Hanif Design Agency","--","No","ACTIVE","2024-12-19T11:10:15.594Z"
"70f81ca2-f5a3-4d0b-aff6-b846d19df50b","Thaher Business","--","No","ACTIVE","2024-12-19T06:37:40.794Z"
"0457073f-4de3-4ea8-80c5-107a5ca607a4","bigie ventures","--","No","ACTIVE","2024-12-18T14:35:58.501Z"
"83965390-472e-4ccd-93fc-abafa795955d","bbsbsh jhhsh","--","No","ACTIVE","2024-12-18T14:25:08.097Z"
"5f058f50-7a6f-403c-86c3-0ace1b856eb0","blue one","--","No","ACTIVE","2024-12-18T14:17:37.497Z"
"d01ac0f0-ddb0-4bfa-ad69-6480a81d4916","Testinov","--","No","ACTIVE","2024-12-18T13:29:22.873Z"
"b847b95f-3445-45bd-8cdc-61ab968d1c90","Soft-life","--","No","ACTIVE","2024-12-18T09:34:52.602Z"
"a8dd422a-2ad9-4e23-a013-14005df1f6a1","Nigellic Enterprises","--","No","ACTIVE","2024-12-17T17:59:07.097Z"
"793dca2f-a8ee-4a21-a005-5093bf18c2c4","tffffg","--","No","ACTIVE","2024-12-17T17:22:23.859Z"
"ea45b008-c8c8-4c09-a385-07c7937b4747","tha one","--","No","ACTIVE","2024-12-17T17:20:09.473Z"
"46e5bc2a-43b5-4fff-a120-3cd8423bd28f","Rich Biz60","--","No","ACTIVE","2024-12-17T11:50:24.159Z"
"eb5627d8-00ff-4219-914b-856838fd0ef6","Doe Resort","--","No","ACTIVE","2024-12-17T11:36:59.877Z"
"dc5f7448-15f8-4afd-92aa-26bbcb6f0b9c","rich40","--","No","ACTIVE","2024-12-17T11:27:24.784Z"
"3489bf5c-4ede-42a5-b931-a60d54876940","rich30","--","No","ACTIVE","2024-12-17T11:23:28.860Z"
"06cb37cc-b6fb-451c-91ab-3659b771dae4","Maguire Resort","--","No","ACTIVE","2024-12-17T11:14:46.795Z"
"025cdc72-ec56-4940-8aa7-eb05d869bb91","rich test20","--","No","ACTIVE","2024-12-17T11:03:20.322Z"
"1df59e1c-d151-4f50-8af4-a86e7a766842","ric test","--","No","ACTIVE","2024-12-17T10:54:24.977Z"
"30c8e047-49ba-4ed2-b2c3-fef961bbd362","RMS Automation","--","No","ACTIVE","2024-12-17T10:37:47.175Z"
"602a40af-d80c-486e-8562-8375bc31299b","Rich Biz","--","No","ACTIVE","2024-12-17T09:03:17.583Z"
"12b1c55f-168d-4032-8e88-1f43e1a7ccad","my referral biz","--","No","ACTIVE","2024-12-17T07:11:02.375Z"
"4aa96c89-0a8e-49f4-83d0-cd4d6b26aa4b","my referred biz","--","No","ACTIVE","2024-12-16T17:19:34.681Z"
"ed6a879d-3949-46eb-968f-4d720ccae827","SQWEDC WDWE","--","No","ACTIVE","2024-12-16T15:09:24.763Z"
"8b18a95a-4808-46d2-80f3-3cfc61f525f7","richoko","--","No","ACTIVE","2024-12-16T14:42:18.963Z"
"14e82fd6-f3ad-4b71-99ca-56c63663614a","Dev Test New Inc","--","No","ACTIVE","2024-12-14T12:04:32.770Z"
"fa7ecaae-00a0-45a2-9fa2-acc1a1a91172","Mama Rice","--","No","ACTIVE","2024-12-14T11:55:21.717Z"
